timestamp,factory_id,turbidity_ntu,ph,conductivity_us_cm,chromium_mg_l,copper_mg_l,tds_mg_l
2026-01-21 20:51:06,CH-2,237.92,6.76,3271.19,1.64,0.77,5006.46
2026-01-21 20:51:06,TX-A,349.74,8.21,2048.90,0.41,0.24,2205.28
2026-01-21 20:51:06,TX-B,324.79,7.73,3115.18,0.44,0.16,1459.41
2026-01-21 20:51:06,TX-C,214.67,7.64,1775.44,0.53,0.18,2052.28
2026-01-21 20:51:07,CH-1,147.00,6.78,2445.04,0.71,0.43,2234.88
2026-01-21 20:51:07,CH-2,158.46,6.89,4105.24,1.46,0.77,3559.85
2026-01-21 20:51:07,TX-A,451.87,10.60,3332.16,0.29,0.27,1934.84
2026-01-21 20:51:07,TX-B,348.11,7.19,1797.26,0.29,0.29,1819.77
2026-01-21 20:51:07,TX-C,256.52,9.30,2987.66,0.46,0.17,3505.28
2026-01-21 20:51:08,CH-1,196.15,6.93,2184.28,1.34,0.49,2906.78
2026-01-21 20:51:08,CH-2,189.56,7.86,3453.21,1.63,0.48,3734.13
2026-01-21 20:51:08,TX-A,416.74,7.50,2755.96,0.58,0.36,2590.12
2026-01-21 20:51:08,TX-B,355.38,7.56,3574.41,0.33,0.24,2272.11
2026-01-21 20:51:08,TX-C,250.80,7.25,1851.52,0.38,0.19,1859.63
2026-01-21 20:51:09,CH-1,203.06,4.65,3151.86,0.98,0.47,3575.34
2026-01-21 20:51:09,CH-2,239.86,3.94,2981.62,1.72,0.44,4418.34
2026-01-21 20:51:09,TX-A,335.13,8.61,3204.69,0.59,0.18,1869.53
2026-01-21 20:51:09,TX-B,264.66,7.08,2212.63,0.40,0.26,1977.86
2026-01-21 20:51:09,TX-C,384.14,8.09,3313.81,0.72,0.35,1711.38
2026-01-21 20:51:10,CH-1,303.07,4.98,3254.60,0.59,0.83,2959.99
2026-01-21 20:51:10,CH-2,226.64,5.18,3176.17,1.54,0.56,3307.94
2026-01-21 20:51:10,TX-A,423.79,7.35,2057.99,0.35,0.27,1902.16
2026-01-21 20:51:10,TX-B,272.56,8.19,2359.56,0.56,0.25,2455.46
2026-01-21 20:51:10,TX-C,407.53,8.71,2782.97,0.65,0.23,2169.34
2026-01-21 20:51:11,CH-1,207.89,4.52,4288.13,1.25,0.60,2847.36
2026-01-21 20:51:11,CH-2,223.08,4.36,4211.65,0.87,0.72,4103.20
2026-01-21 20:51:11,TX-A,280.10,7.08,3044.56,0.56,0.30,2279.65
2026-01-21 20:51:11,TX-B,396.21,6.57,2618.24,0.49,0.15,2169.63
2026-01-21 20:51:11,TX-C,272.22,9.46,2667.39,0.49,0.32,2205.59
2026-01-21 20:51:12,CH-1,188.11,5.44,3631.63,0.64,0.59,2798.70
2026-01-21 20:51:12,CH-2,237.94,5.49,4063.15,1.39,0.78,3516.45
2026-01-21 20:51:12,TX-A,304.05,9.10,2964.37,0.50,0.22,1799.23
2026-01-21 20:51:12,TX-B,340.46,8.23,3535.34,0.48,0.20,2649.26
2026-01-21 20:51:12,TX-C,399.34,7.99,3299.53,0.63,0.23,2296.14
2026-01-21 20:51:13,CH-1,233.96,4.87,3360.51,1.76,0.70,3765.13
2026-01-21 20:51:13,CH-2,227.61,6.81,4151.37,1.50,0.68,2322.16
2026-01-21 20:51:13,TX-A,235.16,7.70,2091.15,0.61,0.20,1439.82
2026-01-21 20:51:13,TX-B,199.73,9.38,2298.66,0.22,0.25,2375.36
2026-01-21 20:51:13,TX-C,450.51,7.83,3289.31,0.59,0.26,2096.83
2026-01-21 20:51:14,CH-1,286.52,6.39,4142.36,1.79,0.60,3510.76
2026-01-21 20:51:14,CH-2,224.98,6.82,3360.59,0.81,0.64,3906.46
2026-01-21 20:51:14,TX-A,347.90,7.12,2395.52,0.81,0.32,2910.64
2026-01-21 20:51:14,TX-B,200.68,8.95,1306.90,0.68,0.26,2553.17
2026-01-21 20:51:14,TX-C,430.63,8.67,2980.67,0.22,0.22,1789.10
2026-01-21 20:51:15,CH-1,214.20,5.38,3573.57,1.57,0.67,3698.01
2026-01-21 20:51:15,CH-2,220.87,6.46,4444.53,1.87,0.60,2401.22
2026-01-21 20:51:15,TX-A,286.97,8.46,2145.62,0.61,0.19,1958.72
2026-01-21 20:51:15,TX-B,277.21,7.22,2973.87,0.46,0.25,1776.64
2026-01-21 20:51:15,TX-C,301.07,8.49,2433.84,0.56,0.29,2436.79
2026-01-21 20:51:16,CH-1,175.94,6.08,3351.01,1.03,0.48,3928.49
2026-01-21 20:51:16,CH-2,246.07,4.96,3987.07,1.12,0.81,2086.86
2026-01-21 20:51:16,TX-A,308.25,7.11,1985.09,0.37,0.22,1911.49
2026-01-21 20:51:16,TX-B,232.16,7.79,2046.99,0.40,0.22,3132.94
2026-01-21 20:51:16,TX-C,289.47,7.20,3347.72,0.67,0.27,1903.69
2026-01-21 20:51:17,CH-1,171.15,5.87,4208.57,1.56,0.56,3571.19
2026-01-21 20:51:17,CH-2,307.37,5.38,3998.60,1.31,0.66,4027.04
2026-01-21 20:51:17,TX-A,291.46,7.77,2503.79,0.54,0.35,1673.94
2026-01-21 20:51:17,TX-B,319.67,8.33,2827.76,0.53,0.17,1725.09
2026-01-21 20:51:17,TX-C,480.72,9.27,3036.00,0.62,0.21,1988.77
2026-01-21 20:51:18,CH-1,293.24,4.84,3848.78,0.87,0.73,2131.83
2026-01-21 20:51:18,CH-2,202.74,4.05,3712.22,1.97,0.19,3149.74
2026-01-21 20:51:18,TX-A,468.25,8.32,3094.12,0.30,0.30,2143.46
2026-01-21 20:51:18,TX-B,360.53,8.65,2846.89,0.40,0.25,1842.09
2026-01-21 20:51:18,TX-C,328.13,8.89,3399.87,0.59,0.24,2356.78
2026-01-21 20:51:19,CH-1,197.78,6.26,3742.49,1.92,0.55,3216.15
2026-01-21 20:51:19,CH-2,182.80,5.30,3702.91,1.29,0.77,2295.30
2026-01-21 20:51:19,TX-A,161.11,8.73,2754.48,0.60,0.28,1221.12
2026-01-21 20:51:19,TX-B,387.00,9.47,2382.64,0.34,0.34,2276.18
2026-01-21 20:51:19,TX-C,274.40,9.24,2252.33,0.66,0.17,2173.18
2026-01-21 20:51:20,CH-1,173.63,4.25,2909.92,1.73,0.58,3625.09
2026-01-21 20:51:20,CH-2,205.35,7.11,2424.40,1.08,0.27,3379.20
2026-01-21 20:51:20,TX-A,368.63,9.39,2960.36,0.44,0.18,1943.37
2026-01-21 20:51:20,TX-B,348.35,9.31,2691.65,0.53,0.27,1850.19
2026-01-21 20:51:20,TX-C,421.11,8.42,2704.39,0.49,0.34,1858.50
2026-01-21 20:51:21,CH-1,163.75,6.16,2860.64,1.19,0.59,2268.15
2026-01-21 20:51:21,CH-2,233.57,4.97,1915.89,1.19,0.57,3289.17
2026-01-21 20:51:21,TX-A,265.34,7.73,1925.88,0.65,0.28,2151.67
2026-01-21 20:51:21,TX-B,284.35,7.75,2313.71,0.34,0.23,3168.48
2026-01-21 20:51:21,TX-C,185.81,8.66,3449.93,0.61,0.20,1569.25
2026-01-21 20:51:22,CH-1,232.09,6.47,3461.16,0.54,0.59,2512.08
2026-01-21 20:51:22,CH-2,347.34,4.75,3789.12,1.39,0.39,3324.26
2026-01-21 20:51:22,TX-A,386.25,8.73,2600.48,0.59,0.24,1849.55
2026-01-21 20:51:22,TX-B,341.53,9.08,2788.48,0.74,0.24,2243.69
2026-01-21 20:51:22,TX-C,295.56,7.76,3978.57,0.73,0.27,2177.80
2026-01-21 20:51:23,CH-1,240.62,6.69,5445.61,0.78,0.61,3578.94
2026-01-21 20:51:23,CH-2,290.71,9.13,1617.06,1.01,0.56,4820.42
2026-01-21 20:51:23,TX-A,240.61,8.10,3555.11,0.70,0.33,1993.37
2026-01-21 20:51:23,TX-B,255.46,8.76,2403.08,0.48,0.28,2916.71
2026-01-21 20:51:23,TX-C,315.77,7.49,2859.23,0.68,0.24,1721.92
2026-01-21 20:51:24,CH-1,268.29,4.75,3173.87,1.40,0.42,2399.60
2026-01-21 20:51:24,CH-2,222.77,3.32,1478.34,1.14,0.87,4565.90
2026-01-21 20:51:24,TX-A,207.49,9.04,3219.02,0.20,0.24,2260.37
2026-01-21 20:51:24,TX-B,261.05,8.63,2600.85,0.55,0.21,2390.11
2026-01-21 20:51:24,TX-C,279.34,7.84,2771.45,0.73,0.17,1701.07
2026-01-21 20:51:25,CH-1,191.65,5.56,3105.28,1.36,0.53,3568.20
2026-01-21 20:51:25,CH-2,241.89,5.15,2603.85,1.40,0.50,3511.96
2026-01-21 20:51:25,TX-A,297.92,8.47,2693.88,0.43,0.22,2344.62
2026-01-21 20:51:25,TX-B,444.71,7.73,2573.48,0.34,0.32,2611.59
2026-01-21 20:51:25,TX-C,316.76,6.53,2572.02,0.32,0.39,2273.86
2026-01-21 20:51:26,CH-1,240.44,5.78,4062.97,1.64,0.50,3739.71
2026-01-21 20:51:26,CH-2,233.08,7.32,4864.75,1.06,0.52,2856.93
2026-01-21 20:51:26,TX-A,448.47,6.52,2556.29,0.34,0.35,1563.79
2026-01-21 20:51:26,TX-B,268.01,7.22,2886.21,0.48,0.26,1726.62
2026-01-21 20:51:26,TX-C,486.94,6.46,2796.11,0.44,0.31,2283.41
2026-01-21 20:51:27,CH-1,137.27,4.86,4564.67,1.66,0.22,4098.83
2026-01-21 20:51:27,CH-2,127.23,5.92,2446.23,1.17,0.93,3513.88
2026-01-21 20:51:27,TX-A,332.30,7.40,3132.88,0.56,0.44,2335.13
2026-01-21 20:51:27,TX-B,242.99,7.16,2884.37,0.60,0.23,2380.39
2026-01-21 20:51:27,TX-C,334.91,8.73,2880.08,0.62,0.27,2468.58
2026-01-21 20:51:28,CH-1,240.46,5.62,3579.50,1.33,0.65,3208.69
2026-01-21 20:51:28,CH-2,238.79,5.04,3952.48,1.34,0.58,3680.27
2026-01-21 20:51:28,TX-A,348.45,8.33,2677.61,0.49,0.22,1719.01
2026-01-21 20:51:28,TX-B,381.68,7.78,2634.78,0.38,0.22,2277.64
2026-01-21 20:51:28,TX-C,331.03,9.48,2784.60,0.38,0.21,1645.73
2026-01-21 20:51:29,CH-1,216.78,5.20,4502.06,0.95,0.95,3241.72
2026-01-21 20:51:29,CH-2,281.35,4.90,4073.40,0.89,0.85,4128.92
2026-01-21 20:51:29,TX-A,352.44,8.86,2588.98,0.69,0.09,2757.53
2026-01-21 20:51:29,TX-B,308.54,8.14,3122.97,0.64,0.25,2514.53
2026-01-21 20:51:29,TX-C,245.45,6.61,2722.28,0.46,0.37,2368.89
2026-01-21 20:51:30,CH-1,293.26,6.05,3869.77,1.16,0.67,2646.09
2026-01-21 20:51:30,CH-2,305.09,5.72,3643.95,1.52,0.42,3690.80
2026-01-21 20:51:30,TX-A,332.48,8.34,2876.21,0.48,0.17,2525.88
2026-01-21 20:51:30,TX-B,214.26,7.79,2435.26,0.19,0.11,2403.19
2026-01-21 20:51:30,TX-C,286.26,8.20,2572.98,0.69,0.27,2688.86
2026-01-21 20:51:31,CH-1,172.27,8.74,3671.04,1.12,0.79,2503.51
2026-01-21 20:51:31,CH-2,177.37,6.44,2875.18,1.07,0.72,2907.15
2026-01-21 20:51:31,TX-A,449.65,8.35,3335.82,0.19,0.32,2733.82
2026-01-21 20:51:31,TX-B,331.39,7.67,2453.57,0.37,0.22,2075.25
2026-01-21 20:51:31,TX-C,393.85,7.38,2318.01,0.46,0.24,2749.56
2026-01-21 20:51:32,CH-1,197.98,6.15,3608.61,1.68,0.44,3231.19
2026-01-21 20:51:32,CH-2,84.38,4.88,5110.09,1.30,0.57,3355.74
2026-01-21 20:51:32,TX-A,438.86,9.08,2552.00,0.72,0.17,2903.57
2026-01-21 20:51:32,TX-B,155.83,8.48,2588.59,0.33,0.45,1894.49
2026-01-21 20:51:32,TX-C,361.24,9.45,2637.65,0.33,0.31,1951.18
2026-01-21 20:51:33,CH-1,172.74,6.79,3894.12,1.32,0.63,3872.43
2026-01-21 20:51:33,CH-2,250.69,7.22,4216.17,1.09,0.33,3581.49
2026-01-21 20:51:33,TX-A,214.02,9.94,3301.59,0.68,0.32,2363.79
2026-01-21 20:51:33,TX-B,303.35,6.31,2976.19,0.62,0.22,2446.35
2026-01-21 20:51:33,TX-C,376.23,5.85,2356.03,0.57,0.34,2447.91
2026-01-21 20:51:34,CH-1,176.72,6.06,4707.19,1.07,0.51,2367.73
2026-01-21 20:51:34,CH-2,197.17,7.55,4244.03,0.96,0.49,3289.32
2026-01-21 20:51:34,TX-A,555.07,9.47,2295.07,0.63,0.28,2771.07
2026-01-21 20:51:34,TX-B,347.52,7.94,2644.90,0.33,0.40,2238.72
2026-01-21 20:51:34,TX-C,404.15,8.38,2289.33,0.42,0.32,3260.36
2026-01-21 20:51:35,CH-1,80.66,3.94,3291.30,1.56,0.47,3022.05
2026-01-21 20:51:35,CH-2,203.49,6.37,3108.06,1.25,0.46,4158.92
2026-01-21 20:51:35,TX-A,416.46,7.96,1630.38,0.53,0.22,1931.37
2026-01-21 20:51:35,TX-B,258.38,7.97,2552.98,0.39,0.31,2242.37
2026-01-21 20:51:35,TX-C,343.20,9.63,2878.02,0.66,0.25,1908.50
2026-01-21 20:51:36,CH-1,286.64,6.65,2909.43,1.20,0.77,3067.80
2026-01-21 20:51:36,CH-2,205.19,5.51,2654.28,0.94,0.54,2477.63
2026-01-21 20:51:36,TX-A,260.35,8.00,2507.13,0.82,0.27,2260.39
2026-01-21 20:51:36,TX-B,313.05,7.88,2873.22,0.38,0.32,2646.49
2026-01-21 20:51:36,TX-C,311.41,7.92,2563.10,0.62,0.26,2162.75
2026-01-21 20:51:37,CH-1,315.58,7.21,3366.13,1.60,0.52,4433.37
2026-01-21 20:51:37,CH-2,291.82,6.36,1610.16,1.26,0.82,3343.78
2026-01-21 20:51:37,TX-A,362.68,8.46,3435.58,0.44,0.35,2115.45
2026-01-21 20:51:37,TX-B,308.49,8.73,3095.04,0.55,0.32,2157.11
2026-01-21 20:51:37,TX-C,317.27,6.58,1770.44,0.41,0.19,2750.23
2026-01-21 20:51:38,CH-1,273.13,4.15,3327.73,1.55,0.65,3642.32
2026-01-21 20:51:38,CH-2,213.30,6.73,4129.48,0.87,0.63,2981.50
2026-01-21 20:51:38,TX-A,279.59,6.59,3154.05,0.79,0.24,2967.78
2026-01-21 20:51:38,TX-B,201.16,8.48,2228.40,0.81,0.24,2320.72
2026-01-21 20:51:38,TX-C,274.82,8.16,2815.37,0.73,0.25,2389.88
2026-01-21 20:51:39,CH-1,208.67,7.51,2878.72,1.57,0.64,3785.53
2026-01-21 20:51:39,CH-2,219.96,7.74,4333.54,1.38,0.61,2508.69
2026-01-21 20:51:39,TX-A,299.69,8.02,2910.95,0.50,0.16,1902.46
2026-01-21 20:51:39,TX-B,264.00,7.89,2429.37,0.56,0.36,2361.88
2026-01-21 20:51:39,TX-C,324.74,7.50,2539.42,0.71,0.34,2750.78
2026-01-21 20:51:40,CH-1,154.12,7.80,4641.82,0.78,0.58,2844.84
2026-01-21 20:51:40,CH-2,119.10,6.45,2583.17,1.25,0.49,3678.96
2026-01-21 20:51:40,TX-A,258.01,8.26,2492.29,0.52,0.22,2102.17
2026-01-21 20:51:40,TX-B,494.44,9.40,2618.04,0.43,0.33,2010.47
2026-01-21 20:51:40,TX-C,286.20,6.89,1844.47,0.35,0.25,1799.47
2026-01-21 20:51:41,CH-1,340.84,4.49,4943.08,1.23,0.47,2407.58
2026-01-21 20:51:41,CH-2,236.13,6.35,3794.40,0.91,0.93,3317.43
2026-01-21 20:51:41,TX-A,312.59,7.55,2588.59,0.45,0.32,2379.02
2026-01-21 20:51:41,TX-B,381.85,7.70,2788.34,0.42,0.23,2567.09
2026-01-21 20:51:41,TX-C,297.08,8.33,2217.39,0.83,0.36,2484.69
2026-01-21 20:51:42,CH-1,200.44,4.71,3824.70,0.55,0.68,3093.04
2026-01-21 20:51:42,CH-2,153.41,5.76,2281.27,0.81,0.52,3029.14
2026-01-21 20:51:42,TX-A,252.45,8.48,1917.50,0.37,0.37,2529.43
2026-01-21 20:51:42,TX-B,314.51,9.60,2100.22,0.41,0.23,2418.91
2026-01-21 20:51:42,TX-C,259.49,7.67,2196.69,0.62,0.25,1669.72
2026-01-21 20:51:43,CH-1,265.57,4.42,4222.32,1.81,0.67,2730.23
2026-01-21 20:51:43,CH-2,162.71,9.05,2935.96,1.53,0.62,2379.62
2026-01-21 20:51:43,TX-A,386.18,7.99,2532.29,0.41,0.28,1997.95
2026-01-21 20:51:43,TX-B,338.68,8.87,1881.39,0.61,0.13,2882.10
2026-01-21 20:51:43,TX-C,398.46,8.07,2448.83,0.83,0.14,2071.67
2026-01-21 20:51:44,CH-1,229.22,7.32,4629.43,0.59,0.83,4154.82
2026-01-21 20:51:44,CH-2,213.14,7.05,3390.48,1.12,0.79,3611.95
2026-01-21 20:51:44,TX-A,363.65,7.24,2191.35,0.64,0.15,2332.83
2026-01-21 20:51:44,TX-B,353.74,9.46,2823.10,0.75,0.24,1729.23
2026-01-21 20:51:44,TX-C,264.56,7.64,2676.12,0.41,0.36,2668.54
2026-01-21 20:51:45,CH-1,316.58,6.33,3287.85,0.96,0.77,3215.09
2026-01-21 20:51:45,CH-2,177.93,7.22,3460.79,1.49,0.79,3862.90
2026-01-21 20:51:45,TX-A,375.22,7.35,2862.85,0.64,0.31,2522.24
2026-01-21 20:51:45,TX-B,232.41,7.99,2764.86,0.60,0.19,2240.82
2026-01-21 20:51:45,TX-C,457.47,8.10,3112.46,0.62,0.25,2999.86
2026-01-21 20:51:46,CH-1,245.69,5.91,3769.20,1.28,0.67,4191.73
2026-01-21 20:51:46,CH-2,263.60,4.81,3229.58,1.66,0.73,3432.76
2026-01-21 20:51:46,TX-A,433.31,8.41,1902.29,0.48,0.24,1661.01
2026-01-21 20:51:46,TX-B,341.45,7.49,2150.79,0.63,0.29,2412.53
2026-01-21 20:51:46,TX-C,382.71,9.08,2748.12,0.44,0.27,2678.78
2026-01-21 20:51:47,CH-1,145.41,8.26,5481.32,1.28,0.45,3836.62
2026-01-21 20:51:47,CH-2,236.15,5.92,3435.38,1.08,0.45,3514.96
2026-01-21 20:51:47,TX-A,211.49,9.07,2916.65,0.68,0.31,2382.46
2026-01-21 20:51:47,TX-B,327.54,7.52,3302.54,0.47,0.34,2460.12
2026-01-21 20:51:47,TX-C,389.33,6.99,2470.36,0.58,0.37,1980.58
2026-01-21 20:51:48,CH-1,259.74,6.25,3782.59,1.00,0.70,3143.76
2026-01-21 20:51:48,CH-2,275.02,4.24,2780.88,1.59,0.85,3259.53
2026-01-21 20:51:48,TX-A,360.58,7.60,1949.68,0.29,0.15,2018.75
2026-01-21 20:51:48,TX-B,285.33,8.11,1945.19,0.45,0.29,2206.91
2026-01-21 20:51:48,TX-C,362.74,7.33,2705.28,0.50,0.15,1932.70
2026-01-21 20:51:49,CH-1,184.41,6.89,2921.46,1.56,0.52,3893.12
2026-01-21 20:51:49,CH-2,191.41,5.90,3713.06,1.65,0.69,2442.65
2026-01-21 20:51:49,TX-A,332.08,8.70,3382.05,0.56,0.25,2489.55
2026-01-21 20:51:49,TX-B,351.00,9.59,2130.32,0.46,0.24,2200.94
2026-01-21 20:51:49,TX-C,298.83,8.14,2929.68,0.50,0.30,2630.00
2026-01-21 20:51:50,CH-1,114.21,5.56,3012.42,1.72,0.60,2440.17
2026-01-21 20:51:50,CH-2,95.43,6.21,3524.31,1.09,0.67,2595.39
2026-01-21 20:51:50,TX-A,217.65,8.15,3193.26,0.85,0.24,1867.29
2026-01-21 20:51:50,TX-B,252.92,9.66,2974.27,0.11,0.25,2263.92
2026-01-21 20:51:50,TX-C,394.84,9.48,1537.77,0.51,0.22,2684.06
2026-01-21 20:51:51,CH-1,197.71,7.87,3935.99,1.18,0.75,1733.59
2026-01-21 20:51:51,CH-2,247.39,6.42,3799.86,1.17,0.54,2615.94
2026-01-21 20:51:51,TX-A,348.95,7.23,2486.76,0.57,0.23,2287.00
2026-01-21 20:51:51,TX-B,390.95,7.50,2327.36,0.89,0.19,2273.01
2026-01-21 20:51:51,TX-C,398.23,8.11,2522.17,0.47,0.32,1658.40
2026-01-21 20:51:52,CH-1,165.49,6.34,2581.58,0.87,0.62,3443.04
2026-01-21 20:51:52,CH-2,232.22,8.69,2889.56,0.86,0.70,3277.08
2026-01-21 20:51:52,TX-A,318.00,8.08,2572.28,0.59,0.39,2557.75
2026-01-21 20:51:52,TX-B,392.39,6.72,3279.95,0.43,0.25,2211.12
2026-01-21 20:51:52,TX-C,247.38,8.58,2199.69,0.56,0.27,2112.64
2026-01-21 20:51:53,CH-1,203.39,5.52,3509.45,1.43,0.78,2866.41
2026-01-21 20:51:53,CH-2,266.80,7.25,4835.15,1.48,0.50,2657.57
2026-01-21 20:51:53,TX-A,407.14,8.30,2761.01,0.46,0.05,2563.76
2026-01-21 20:51:53,TX-B,390.22,8.63,1752.94,0.61,0.24,2711.32
2026-01-21 20:51:53,TX-C,323.30,7.48,3286.76,0.47,0.17,2680.23
2026-01-21 20:51:54,CH-1,211.60,7.47,3178.51,1.51,0.46,4538.11
2026-01-21 20:51:54,CH-2,309.43,6.59,2499.27,1.06,0.88,3906.73
2026-01-21 20:51:54,TX-A,352.63,8.09,1994.36,0.65,0.27,1589.03
2026-01-21 20:51:54,TX-B,286.56,9.50,2411.99,0.67,0.15,1528.69
2026-01-21 20:51:54,TX-C,297.85,8.45,3002.80,0.65,0.23,2750.66
2026-01-21 20:51:55,CH-1,181.57,5.73,1968.31,0.85,0.62,4023.42
2026-01-21 20:51:55,CH-2,158.08,6.41,2513.93,1.75,0.57,3507.95
2026-01-21 20:51:55,TX-A,398.31,8.31,3047.73,0.53,0.34,1653.29
2026-01-21 20:51:55,TX-B,221.53,10.96,2171.50,0.56,0.22,2902.88
2026-01-21 20:51:55,TX-C,168.96,7.26,2730.59,0.51,0.27,2340.61
2026-01-21 20:51:56,CH-1,223.14,5.13,4890.89,1.03,0.55,3347.22
2026-01-21 20:51:56,CH-2,254.00,6.23,4323.57,1.61,0.79,3085.87
2026-01-21 20:51:56,TX-A,218.20,8.54,2720.35,0.47,0.29,1914.27
2026-01-21 20:51:56,TX-B,420.32,9.14,2901.28,0.71,0.32,2990.59
2026-01-21 20:51:56,TX-C,308.05,8.23,2981.78,0.54,0.18,2258.74
2026-01-21 20:51:57,CH-1,211.05,5.13,3377.78,1.69,0.62,3864.24
2026-01-21 20:51:57,CH-2,240.85,3.99,2614.39,1.28,0.45,3376.42
2026-01-21 20:51:57,TX-A,372.58,7.74,3177.44,0.55,0.33,2140.57
2026-01-21 20:51:57,TX-B,416.49,8.19,2266.44,0.59,0.38,1807.95
2026-01-21 20:51:57,TX-C,350.41,8.68,1619.98,0.37,0.36,2115.10
2026-01-21 20:51:58,CH-1,218.18,4.41,4531.94,1.61,0.67,3229.44
2026-01-21 20:51:58,CH-2,148.88,4.17,3612.39,0.93,0.63,3265.71
2026-01-21 20:51:58,TX-A,317.30,6.88,2311.69,0.51,0.40,1616.67
2026-01-21 20:51:58,TX-B,413.33,7.91,2364.31,0.25,0.18,2066.08
2026-01-21 20:51:58,TX-C,386.14,7.22,2124.50,0.90,0.26,2194.18
2026-01-21 20:51:59,CH-1,268.06,7.37,4204.45,1.40,0.65,3621.22
2026-01-21 20:51:59,CH-2,134.49,4.72,2144.68,1.32,0.70,2977.99
2026-01-21 20:51:59,TX-A,356.98,7.80,1831.68,0.39,0.28,2010.37
2026-01-21 20:51:59,TX-B,363.09,7.46,2321.33,0.39,0.31,2449.57
2026-01-21 20:51:59,TX-C,375.02,6.84,3119.38,0.29,0.33,2913.49
